Data,NomeDia,TCC Faturamento Realizado,TCC Faturamento Projetado Power BI
2019-01-03 00:00:00,QUINTA-FEIRA,R$ 11244,R$ 116193
2019-01-04 00:00:00,SEXTA-FEIRA,R$ 11887,R$ 179265
2019-01-05 00:00:00,SÁBADO,R$ 2114,R$ 156516
2019-01-06 00:00:00,DOMINGO,,R$ 130430
2019-01-07 00:00:00,SEGUNDA-FEIRA,R$ 889,R$ 115734
2019-01-08 00:00:00,TERÇA-FEIRA,R$ 2278,R$ 110093
2019-01-09 00:00:00,QUARTA-FEIRA,R$ 6111,R$ 118909
2019-01-10 00:00:00,QUINTA-FEIRA,R$ 1107,R$ 110448
2019-01-11 00:00:00,SEXTA-FEIRA,R$ 11959,R$ 134109
2019-01-12 00:00:00,SÁBADO,R$ 1021,R$ 125571
2019-01-13 00:00:00,DOMINGO,,R$ 115911
2019-01-14 00:00:00,SEGUNDA-FEIRA,R$ 911,R$ 109649
2019-01-15 00:00:00,TERÇA-FEIRA,R$ 2401,R$ 107301
2019-01-16 00:00:00,QUARTA-FEIRA,R$ 10782,R$ 121485
2019-01-17 00:00:00,QUINTA-FEIRA,R$ 11793,R$ 135844
2019-01-18 00:00:00,SEXTA-FEIRA,R$ 5644,R$ 138018
2019-01-19 00:00:00,SÁBADO,R$ 1181,R$ 132681
2019-01-20 00:00:00,DOMINGO,,R$ 126047
2019-01-21 00:00:00,SEGUNDA-FEIRA,,R$ 120044
2019-01-22 00:00:00,TERÇA-FEIRA,R$ 3951,R$ 120155
2019-01-23 00:00:00,QUARTA-FEIRA,R$ 9666,R$ 127959
2019-01-24 00:00:00,QUINTA-FEIRA,R$ 248,R$ 122948
2019-01-25 00:00:00,SEXTA-FEIRA,R$ 3468,R$ 122330
2019-01-26 00:00:00,SÁBADO,R$ 0,R$ 117625
2019-01-27 00:00:00,DOMINGO,,R$ 113269
2019-01-28 00:00:00,SEGUNDA-FEIRA,R$ 1715,R$ 111122
2019-01-29 00:00:00,TERÇA-FEIRA,R$ 8092,R$ 115940
2019-01-30 00:00:00,QUARTA-FEIRA,R$ 3482,R$ 115674
2019-01-31 00:00:00,QUINTA-FEIRA,R$ 3260,R$ 115202
2019-02-01 00:00:00,SEXTA-FEIRA,R$ 8729,R$ 244419
2019-02-02 00:00:00,SÁBADO,,R$ 122210
2019-02-03 00:00:00,DOMINGO,,R$ 81473
2019-02-04 00:00:00,SEGUNDA-FEIRA,R$ 2948,R$ 81741
2019-02-05 00:00:00,TERÇA-FEIRA,R$ 1359,R$ 73003
2019-02-06 00:00:00,QUARTA-FEIRA,R$ 3573,R$ 77508
2019-02-07 00:00:00,QUINTA-FEIRA,R$ 6898,R$ 94029
2019-02-08 00:00:00,SEXTA-FEIRA,R$ 7618,R$ 108937
2019-02-09 00:00:00,SÁBADO,R$ 1070,R$ 100162
2019-02-10 00:00:00,DOMINGO,,R$ 90145
2019-02-11 00:00:00,SEGUNDA-FEIRA,R$ 6189,R$ 97704
2019-02-12 00:00:00,TERÇA-FEIRA,R$ 201,R$ 90031
2019-02-13 00:00:00,QUARTA-FEIRA,R$ 2486,R$ 88460
2019-02-14 00:00:00,QUINTA-FEIRA,R$ 6162,R$ 94466
2019-02-15 00:00:00,SEXTA-FEIRA,R$ 11212,R$ 109096
2019-02-16 00:00:00,SÁBADO,R$ 742,R$ 103576
2019-02-17 00:00:00,DOMINGO,,R$ 97483
2019-02-18 00:00:00,SEGUNDA-FEIRA,R$ 2370,R$ 95754
2019-02-19 00:00:00,TERÇA-FEIRA,R$ 712,R$ 91764
2019-02-20 00:00:00,QUARTA-FEIRA,R$ 6748,R$ 96622
2019-02-21 00:00:00,QUINTA-FEIRA,R$ 3450,R$ 96622
2019-02-22 00:00:00,SEXTA-FEIRA,R$ 9057,R$ 103757
2019-02-23 00:00:00,SÁBADO,R$ 3176,R$ 103112
2019-02-24 00:00:00,DOMINGO,,R$ 98816
2019-02-25 00:00:00,SEGUNDA-FEIRA,R$ 675,R$ 95619
2019-02-26 00:00:00,TERÇA-FEIRA,R$ 70,R$ 92017
2019-02-27 00:00:00,QUARTA-FEIRA,R$ 12866,R$ 101951
2019-02-28 00:00:00,QUINTA-FEIRA,R$ 2759,R$ 101069
2019-03-01 00:00:00,SEXTA-FEIRA,R$ 3592,R$ 111337
2019-03-02 00:00:00,SÁBADO,R$ 259,R$ 59683
2019-03-03 00:00:00,DOMINGO,,R$ 39789
2019-03-04 00:00:00,SEGUNDA-FEIRA,,R$ 29841
2019-03-05 00:00:00,TERÇA-FEIRA,,R$ 23873
2019-03-06 00:00:00,QUARTA-FEIRA,R$ 5018,R$ 45818
2019-03-07 00:00:00,QUINTA-FEIRA,R$ 4141,R$ 57611
2019-03-08 00:00:00,SEXTA-FEIRA,R$ 11019,R$ 93108
2019-03-09 00:00:00,SÁBADO,R$ 297,R$ 83786
2019-03-10 00:00:00,DOMINGO,,R$ 75407
2019-03-11 00:00:00,SEGUNDA-FEIRA,R$ 617,R$ 70291
2019-03-12 00:00:00,TERÇA-FEIRA,R$ 886,R$ 66722
2019-03-13 00:00:00,QUARTA-FEIRA,R$ 4347,R$ 71956
2019-03-14 00:00:00,QUINTA-FEIRA,R$ 4798,R$ 77441
2019-03-15 00:00:00,SEXTA-FEIRA,R$ 15146,R$ 103580
2019-03-16 00:00:00,SÁBADO,R$ 920,R$ 98889
2019-03-17 00:00:00,DOMINGO,,R$ 93072
2019-03-18 00:00:00,SEGUNDA-FEIRA,R$ 367,R$ 88533
2019-03-19 00:00:00,TERÇA-FEIRA,R$ 1306,R$ 86004
2019-03-20 00:00:00,QUARTA-FEIRA,R$ 5217,R$ 89790
2019-03-21 00:00:00,QUINTA-FEIRA,R$ 3961,R$ 91363
2019-03-22 00:00:00,SEXTA-FEIRA,R$ 7266,R$ 97449
2019-03-23 00:00:00,SÁBADO,R$ 407,R$ 93761
2019-03-24 00:00:00,DOMINGO,,R$ 89854
2019-03-25 00:00:00,SEGUNDA-FEIRA,R$ 2203,R$ 88991
2019-03-26 00:00:00,TERÇA-FEIRA,R$ 1643,R$ 87528
2019-03-27 00:00:00,QUARTA-FEIRA,R$ 4823,R$ 89823
2019-03-28 00:00:00,QUINTA-FEIRA,R$ 1394,R$ 88158
2019-03-29 00:00:00,SEXTA-FEIRA,R$ 7390,R$ 93018
2019-03-30 00:00:00,SÁBADO,,R$ 89917
2019-03-31 00:00:00,DOMINGO,R$ 1030,R$ 88047
2019-04-01 00:00:00,SEGUNDA-FEIRA,R$ 679,R$ 20369
2019-04-02 00:00:00,TERÇA-FEIRA,R$ 1068,R$ 26205
2019-04-03 00:00:00,QUARTA-FEIRA,R$ 5175,R$ 69215
2019-04-04 00:00:00,QUINTA-FEIRA,R$ 7577,R$ 108741
2019-04-05 00:00:00,SEXTA-FEIRA,R$ 3386,R$ 107309
2019-04-06 00:00:00,SÁBADO,,R$ 89424
2019-04-07 00:00:00,DOMINGO,,R$ 76649
2019-04-08 00:00:00,SEGUNDA-FEIRA,R$ 1893,R$ 74167
2019-04-09 00:00:00,TERÇA-FEIRA,R$ 1550,R$ 71093
2019-04-10 00:00:00,QUARTA-FEIRA,R$ 431,R$ 65277
2019-04-11 00:00:00,QUINTA-FEIRA,R$ 2562,R$ 66330
2019-04-12 00:00:00,SEXTA-FEIRA,R$ 9209,R$ 83825
2019-04-13 00:00:00,SÁBADO,,R$ 77377
2019-04-14 00:00:00,DOMINGO,,R$ 71850
2019-04-15 00:00:00,SEGUNDA-FEIRA,R$ 5091,R$ 77242
2019-04-16 00:00:00,TERÇA-FEIRA,R$ 964,R$ 74222
2019-04-17 00:00:00,QUARTA-FEIRA,R$ 1324,R$ 72193
2019-04-18 00:00:00,QUINTA-FEIRA,R$ 6450,R$ 78931
2019-04-19 00:00:00,SEXTA-FEIRA,,R$ 74777
2019-04-20 00:00:00,SÁBADO,R$ 243,R$ 71403
2019-04-21 00:00:00,DOMINGO,,R$ 68003
2019-04-22 00:00:00,SEGUNDA-FEIRA,R$ 397,R$ 65453
2019-04-23 00:00:00,TERÇA-FEIRA,R$ 2712,R$ 66144
2019-04-24 00:00:00,QUARTA-FEIRA,R$ 3688,R$ 67998
2019-04-25 00:00:00,QUINTA-FEIRA,R$ 3753,R$ 69782
2019-04-26 00:00:00,SEXTA-FEIRA,R$ 6347,R$ 74422
2019-04-27 00:00:00,SÁBADO,R$ 515,R$ 72237
2019-04-28 00:00:00,DOMINGO,,R$ 69658
2019-04-29 00:00:00,SEGUNDA-FEIRA,R$ 882,R$ 68168
2019-04-30 00:00:00,TERÇA-FEIRA,R$ 7068,R$ 72964
2019-05-02 00:00:00,QUINTA-FEIRA,R$ 3226,R$ 50005
2019-05-03 00:00:00,SEXTA-FEIRA,R$ 6264,R$ 98060
2019-05-04 00:00:00,SÁBADO,R$ 505,R$ 77458
2019-05-05 00:00:00,DOMINGO,,R$ 61967
2019-05-06 00:00:00,SEGUNDA-FEIRA,R$ 297,R$ 53173
2019-05-07 00:00:00,TERÇA-FEIRA,R$ 534,R$ 47942
2019-05-08 00:00:00,QUARTA-FEIRA,R$ 1853,R$ 49128
2019-05-09 00:00:00,QUINTA-FEIRA,R$ 4877,R$ 60469
2019-05-10 00:00:00,SEXTA-FEIRA,R$ 8184,R$ 79793
2019-05-11 00:00:00,SÁBADO,R$ 1106,R$ 75656
2019-05-12 00:00:00,DOMINGO,,R$ 69351
2019-05-13 00:00:00,SEGUNDA-FEIRA,R$ 431,R$ 65044
2019-05-14 00:00:00,TERÇA-FEIRA,R$ 1726,R$ 64220
2019-05-15 00:00:00,QUARTA-FEIRA,R$ 412,R$ 60790
2019-05-16 00:00:00,QUINTA-FEIRA,R$ 6124,R$ 68857
2019-05-17 00:00:00,SEXTA-FEIRA,R$ 3555,R$ 71289
2019-05-18 00:00:00,SÁBADO,R$ 1188,R$ 69375
2019-05-19 00:00:00,DOMINGO,,R$ 65723
2019-05-20 00:00:00,SEGUNDA-FEIRA,R$ 1264,R$ 64397
2019-05-21 00:00:00,TERÇA-FEIRA,R$ 2356,R$ 64808
2019-05-22 00:00:00,QUARTA-FEIRA,R$ 3923,R$ 67390
2019-05-23 00:00:00,QUINTA-FEIRA,R$ 2348,R$ 67624
2019-05-24 00:00:00,SEXTA-FEIRA,R$ 9779,R$ 77437
2019-05-25 00:00:00,SÁBADO,R$ 297,R$ 74708
2019-05-26 00:00:00,DOMINGO,,R$ 71835
2019-05-27 00:00:00,SEGUNDA-FEIRA,R$ 1649,R$ 71067
2019-05-28 00:00:00,TERÇA-FEIRA,R$ 3051,R$ 71907
2019-05-29 00:00:00,QUARTA-FEIRA,R$ 1478,R$ 71007
2019-05-30 00:00:00,QUINTA-FEIRA,R$ 4589,R$ 73383
2019-05-31 00:00:00,SEXTA-FEIRA,R$ 1497,R$ 72512
2019-06-03 00:00:00,SEGUNDA-FEIRA,R$ 297,R$ 2970
2019-06-04 00:00:00,TERÇA-FEIRA,R$ 5347,R$ 42329
2019-06-05 00:00:00,QUARTA-FEIRA,,R$ 33864
2019-06-06 00:00:00,QUINTA-FEIRA,R$ 3757,R$ 47007
2019-06-07 00:00:00,SEXTA-FEIRA,R$ 4308,R$ 58754
2019-06-08 00:00:00,SÁBADO,R$ 1120,R$ 55610
2019-06-09 00:00:00,DOMINGO,,R$ 49431
2019-06-10 00:00:00,SEGUNDA-FEIRA,R$ 531,R$ 46081
2019-06-11 00:00:00,TERÇA-FEIRA,R$ 4297,R$ 53612
2019-06-12 00:00:00,QUARTA-FEIRA,R$ 2790,R$ 56120
2019-06-13 00:00:00,QUINTA-FEIRA,R$ 5451,R$ 64382
2019-06-14 00:00:00,SEXTA-FEIRA,R$ 10027,R$ 81268
2019-06-15 00:00:00,SÁBADO,R$ 893,R$ 77637
2019-06-16 00:00:00,DOMINGO,,R$ 72784
2019-06-17 00:00:00,SEGUNDA-FEIRA,R$ 2695,R$ 73258
2019-06-18 00:00:00,TERÇA-FEIRA,R$ 7001,R$ 80856
2019-06-19 00:00:00,QUARTA-FEIRA,R$ 4068,R$ 83024
2019-06-20 00:00:00,QUINTA-FEIRA,,R$ 78873
2019-06-21 00:00:00,SEXTA-FEIRA,R$ 9952,R$ 89334
2019-06-22 00:00:00,SÁBADO,R$ 787,R$ 86347
2019-06-23 00:00:00,DOMINGO,,R$ 82593
2019-06-24 00:00:00,SEGUNDA-FEIRA,R$ 297,R$ 79522
2019-06-25 00:00:00,TERÇA-FEIRA,R$ 1592,R$ 78252
2019-06-26 00:00:00,QUARTA-FEIRA,R$ 652,R$ 75995
2019-06-27 00:00:00,QUINTA-FEIRA,R$ 3999,R$ 77624
2019-06-28 00:00:00,SEXTA-FEIRA,R$ 8491,R$ 83948
2019-06-29 00:00:00,SÁBADO,R$ 738,R$ 81818
2019-06-30 00:00:00,DOMINGO,,R$ 79090
2019-07-01 00:00:00,SEGUNDA-FEIRA,R$ 786,R$ 24366
2019-07-02 00:00:00,TERÇA-FEIRA,R$ 1291,R$ 32193
2019-07-03 00:00:00,QUARTA-FEIRA,R$ 3905,R$ 61809
2019-07-04 00:00:00,QUINTA-FEIRA,R$ 8107,R$ 109189
2019-07-05 00:00:00,SEXTA-FEIRA,R$ 9431,R$ 145824
2019-07-06 00:00:00,SÁBADO,R$ 297,R$ 123054
2019-07-07 00:00:00,DOMINGO,,R$ 105475
2019-07-08 00:00:00,SEGUNDA-FEIRA,R$ 231,R$ 93186
2019-07-09 00:00:00,TERÇA-FEIRA,,R$ 82832
2019-07-10 00:00:00,QUARTA-FEIRA,R$ 1295,R$ 78563
2019-07-11 00:00:00,QUINTA-FEIRA,R$ 1669,R$ 76125
2019-07-12 00:00:00,SEXTA-FEIRA,R$ 6746,R$ 87208
2019-07-13 00:00:00,SÁBADO,R$ 297,R$ 81208
2019-07-14 00:00:00,DOMINGO,,R$ 75407
2019-07-15 00:00:00,SEGUNDA-FEIRA,,R$ 70380
2019-07-16 00:00:00,TERÇA-FEIRA,R$ 1446,R$ 68783
2019-07-17 00:00:00,QUARTA-FEIRA,R$ 4261,R$ 72508
2019-07-18 00:00:00,QUINTA-FEIRA,R$ 2673,R$ 73083
2019-07-19 00:00:00,SEXTA-FEIRA,R$ 15140,R$ 93939
2019-07-20 00:00:00,SÁBADO,R$ 534,R$ 90070
2019-07-21 00:00:00,DOMINGO,,R$ 85781
2019-07-22 00:00:00,SEGUNDA-FEIRA,R$ 1382,R$ 83829
2019-07-23 00:00:00,TERÇA-FEIRA,R$ 1008,R$ 81543
2019-07-24 00:00:00,QUARTA-FEIRA,R$ 2602,R$ 81506
2019-07-25 00:00:00,QUINTA-FEIRA,R$ 1668,R$ 80314
2019-07-26 00:00:00,SEXTA-FEIRA,R$ 12252,R$ 91833
2019-07-27 00:00:00,SÁBADO,R$ 879,R$ 89441
2019-07-28 00:00:00,DOMINGO,R$ 2750,R$ 89291
2019-07-29 00:00:00,SEGUNDA-FEIRA,R$ 0,R$ 86212
2019-07-30 00:00:00,TERÇA-FEIRA,R$ 1760,R$ 85157
2019-07-31 00:00:00,QUARTA-FEIRA,R$ 445,R$ 82855
2019-08-01 00:00:00,QUINTA-FEIRA,R$ 7034,R$ 218054
2019-08-02 00:00:00,SEXTA-FEIRA,R$ 11913,R$ 293679
2019-08-03 00:00:00,SÁBADO,R$ 650,R$ 202503
2019-08-04 00:00:00,DOMINGO,,R$ 151877
2019-08-05 00:00:00,SEGUNDA-FEIRA,R$ 183,R$ 122636
2019-08-06 00:00:00,TERÇA-FEIRA,R$ 688,R$ 105751
2019-08-07 00:00:00,QUARTA-FEIRA,R$ 8171,R$ 126830
2019-08-08 00:00:00,QUINTA-FEIRA,R$ 6696,R$ 136923
2019-08-09 00:00:00,SEXTA-FEIRA,R$ 18766,R$ 186348
2019-08-10 00:00:00,SÁBADO,R$ 303,R$ 168652
2019-08-11 00:00:00,DOMINGO,,R$ 153320
2019-08-12 00:00:00,SEGUNDA-FEIRA,R$ 1970,R$ 145633
2019-08-13 00:00:00,TERÇA-FEIRA,R$ 445,R$ 135491
2019-08-14 00:00:00,QUARTA-FEIRA,R$ 5069,R$ 137036
2019-08-15 00:00:00,QUINTA-FEIRA,R$ 8449,R$ 145362
2019-08-16 00:00:00,SEXTA-FEIRA,R$ 8440,R$ 152630
2019-08-17 00:00:00,SÁBADO,,R$ 143652
2019-08-18 00:00:00,DOMINGO,,R$ 135671
2019-08-19 00:00:00,SEGUNDA-FEIRA,R$ 4640,R$ 136100
2019-08-20 00:00:00,TERÇA-FEIRA,,R$ 129295
2019-08-21 00:00:00,QUARTA-FEIRA,R$ 4840,R$ 130282
2019-08-22 00:00:00,QUINTA-FEIRA,R$ 3347,R$ 129076
2019-08-23 00:00:00,SEXTA-FEIRA,R$ 11256,R$ 138635
2019-08-24 00:00:00,SÁBADO,,R$ 132859
2019-08-25 00:00:00,DOMINGO,,R$ 127544
2019-08-26 00:00:00,SEGUNDA-FEIRA,R$ 1270,R$ 124153
2019-08-27 00:00:00,TERÇA-FEIRA,R$ 5653,R$ 126045
2019-08-28 00:00:00,QUARTA-FEIRA,R$ 3922,R$ 125885
2019-08-29 00:00:00,QUINTA-FEIRA,R$ 5879,R$ 127829
2019-08-30 00:00:00,SEXTA-FEIRA,R$ 13289,R$ 137299
2019-08-31 00:00:00,SÁBADO,,R$ 132870
2019-09-02 00:00:00,SEGUNDA-FEIRA,R$ 240,R$ 3600
2019-09-03 00:00:00,TERÇA-FEIRA,R$ 1833,R$ 20729
2019-09-04 00:00:00,QUARTA-FEIRA,R$ 8689,R$ 80711
2019-09-05 00:00:00,QUINTA-FEIRA,R$ 1948,R$ 76257
2019-09-06 00:00:00,SEXTA-FEIRA,R$ 11150,R$ 119297
2019-09-07 00:00:00,SÁBADO,,R$ 102255
2019-09-08 00:00:00,DOMINGO,,R$ 89473
2019-09-09 00:00:00,SEGUNDA-FEIRA,R$ 3311,R$ 90567
2019-09-10 00:00:00,TERÇA-FEIRA,R$ 771,R$ 83823
2019-09-11 00:00:00,QUARTA-FEIRA,R$ 4459,R$ 88364
2019-09-12 00:00:00,QUINTA-FEIRA,R$ 6935,R$ 98336
2019-09-13 00:00:00,SEXTA-FEIRA,R$ 18232,R$ 132847
2019-09-14 00:00:00,SÁBADO,R$ 550,R$ 124536
2019-09-15 00:00:00,DOMINGO,,R$ 116234
2019-09-16 00:00:00,SEGUNDA-FEIRA,R$ 11241,R$ 130046
2019-09-17 00:00:00,TERÇA-FEIRA,R$ 2912,R$ 127536
2019-09-18 00:00:00,QUARTA-FEIRA,R$ 9699,R$ 136616
2019-09-19 00:00:00,QUINTA-FEIRA,R$ 15960,R$ 154625
2019-09-20 00:00:00,SEXTA-FEIRA,,R$ 146894
2019-09-21 00:00:00,SÁBADO,R$ 8428,R$ 151939
2019-09-22 00:00:00,DOMINGO,,R$ 145032
2019-09-23 00:00:00,SEGUNDA-FEIRA,R$ 1329,R$ 140460
2019-09-24 00:00:00,TERÇA-FEIRA,R$ 3399,R$ 138857
2019-09-25 00:00:00,QUARTA-FEIRA,R$ 4430,R$ 138618
2019-09-26 00:00:00,QUINTA-FEIRA,R$ 3802,R$ 137674
2019-09-27 00:00:00,SEXTA-FEIRA,R$ 12418,R$ 146373
2019-09-28 00:00:00,SÁBADO,R$ 686,R$ 141880
2019-09-29 00:00:00,DOMINGO,R$ 950,R$ 137971
2019-09-30 00:00:00,SEGUNDA-FEIRA,R$ 3460,R$ 136832
2019-10-01 00:00:00,TERÇA-FEIRA,R$ 5884,R$ 182389
2019-10-02 00:00:00,QUARTA-FEIRA,R$ 6092,R$ 185620
2019-10-03 00:00:00,QUINTA-FEIRA,R$ 8898,R$ 215695
2019-10-04 00:00:00,SEXTA-FEIRA,R$ 9446,R$ 234978
2019-10-05 00:00:00,SÁBADO,,R$ 187982
2019-10-06 00:00:00,DOMINGO,,R$ 156652
2019-10-07 00:00:00,SEGUNDA-FEIRA,R$ 2016,R$ 143202
2019-10-08 00:00:00,TERÇA-FEIRA,R$ 7106,R$ 152838
2019-10-09 00:00:00,QUARTA-FEIRA,R$ 3787,R$ 148900
2019-10-10 00:00:00,QUINTA-FEIRA,R$ 4258,R$ 147211
2019-10-11 00:00:00,SEXTA-FEIRA,R$ 14062,R$ 173457
2019-10-12 00:00:00,SÁBADO,,R$ 159002
2019-10-13 00:00:00,DOMINGO,,R$ 146771
2019-10-14 00:00:00,SEGUNDA-FEIRA,,R$ 136288
2019-10-15 00:00:00,TERÇA-FEIRA,R$ 12313,R$ 152649
2019-10-16 00:00:00,QUARTA-FEIRA,R$ 3360,R$ 149617
2019-10-17 00:00:00,QUINTA-FEIRA,R$ 4355,R$ 148758
2019-10-18 00:00:00,SEXTA-FEIRA,R$ 8324,R$ 154829
2019-10-19 00:00:00,SÁBADO,,R$ 146680
2019-10-20 00:00:00,DOMINGO,,R$ 139346
2019-10-21 00:00:00,SEGUNDA-FEIRA,R$ 1634,R$ 135123
2019-10-22 00:00:00,TERÇA-FEIRA,R$ 4154,R$ 134833
2019-10-23 00:00:00,QUARTA-FEIRA,R$ 7406,R$ 138953
2019-10-24 00:00:00,QUINTA-FEIRA,R$ 3520,R$ 137710
2019-10-25 00:00:00,SEXTA-FEIRA,R$ 12037,R$ 147127
2019-10-26 00:00:00,SÁBADO,,R$ 141469
2019-10-27 00:00:00,DOMINGO,,R$ 136229
2019-10-28 00:00:00,SEGUNDA-FEIRA,R$ 816,R$ 132267
2019-10-29 00:00:00,TERÇA-FEIRA,R$ 2006,R$ 129851
2019-10-30 00:00:00,QUARTA-FEIRA,R$ 12225,R$ 138155
2019-10-31 00:00:00,QUINTA-FEIRA,R$ 5688,R$ 139386
2019-11-01 00:00:00,SEXTA-FEIRA,R$ 3506,R$ 105180
2019-11-02 00:00:00,SÁBADO,,R$ 52590
2019-11-03 00:00:00,DOMINGO,,R$ 35060
2019-11-04 00:00:00,SEGUNDA-FEIRA,R$ 1725,R$ 39233
2019-11-05 00:00:00,TERÇA-FEIRA,R$ 3691,R$ 53532
2019-11-06 00:00:00,QUARTA-FEIRA,R$ 6683,R$ 78023
2019-11-07 00:00:00,QUINTA-FEIRA,R$ 2240,R$ 76476
2019-11-08 00:00:00,SEXTA-FEIRA,R$ 13375,R$ 117074
2019-11-09 00:00:00,SÁBADO,,R$ 104065
2019-11-10 00:00:00,DOMINGO,,R$ 93659
2019-11-11 00:00:00,SEGUNDA-FEIRA,R$ 3077,R$ 93536
2019-11-12 00:00:00,TERÇA-FEIRA,R$ 3964,R$ 95652
2019-11-13 00:00:00,QUARTA-FEIRA,R$ 14815,R$ 122482
2019-11-14 00:00:00,QUINTA-FEIRA,R$ 10013,R$ 135189
2019-11-15 00:00:00,SEXTA-FEIRA,,R$ 126176
2019-11-16 00:00:00,SÁBADO,R$ 1182,R$ 120506
2019-11-17 00:00:00,DOMINGO,,R$ 113418
2019-11-18 00:00:00,SEGUNDA-FEIRA,R$ 3993,R$ 113771
2019-11-19 00:00:00,TERÇA-FEIRA,R$ 1486,R$ 110129
2019-11-20 00:00:00,QUARTA-FEIRA,R$ 6050,R$ 113697
2019-11-21 00:00:00,QUINTA-FEIRA,R$ 4542,R$ 114772
2019-11-22 00:00:00,SEXTA-FEIRA,R$ 9866,R$ 123008
2019-11-23 00:00:00,SÁBADO,R$ 732,R$ 118614
2019-11-24 00:00:00,DOMINGO,,R$ 113672
2019-11-25 00:00:00,SEGUNDA-FEIRA,R$ 1522,R$ 110952
2019-11-26 00:00:00,TERÇA-FEIRA,R$ 3944,R$ 111235
2019-11-27 00:00:00,QUARTA-FEIRA,R$ 14257,R$ 122956
2019-11-28 00:00:00,QUINTA-FEIRA,R$ 1971,R$ 120676
2019-11-29 00:00:00,SEXTA-FEIRA,R$ 19255,R$ 136434
2019-11-30 00:00:00,SÁBADO,R$ 2427,R$ 134312
2019-12-02 00:00:00,SEGUNDA-FEIRA,R$ 2350,R$ 36425
2019-12-03 00:00:00,TERÇA-FEIRA,R$ 2456,R$ 49662
2019-12-04 00:00:00,QUARTA-FEIRA,R$ 8910,R$ 106299
2019-12-05 00:00:00,QUINTA-FEIRA,R$ 8645,R$ 138638
2019-12-06 00:00:00,SEXTA-FEIRA,R$ 22387,R$ 231195
2019-12-07 00:00:00,SÁBADO,R$ 7325,R$ 230607
2019-12-08 00:00:00,DOMINGO,,R$ 201781
2019-12-09 00:00:00,SEGUNDA-FEIRA,R$ 2886,R$ 189301
2019-12-10 00:00:00,TERÇA-FEIRA,R$ 7997,R$ 195161
2019-12-11 00:00:00,QUARTA-FEIRA,R$ 16282,R$ 223306
2019-12-12 00:00:00,QUINTA-FEIRA,R$ 15483,R$ 244695
2019-12-13 00:00:00,SEXTA-FEIRA,R$ 27822,R$ 292217
2019-12-14 00:00:00,SÁBADO,R$ 4737,R$ 281833
2019-12-15 00:00:00,DOMINGO,,R$ 263044
2019-12-16 00:00:00,SEGUNDA-FEIRA,R$ 2856,R$ 252138
2019-12-17 00:00:00,TERÇA-FEIRA,R$ 12105,R$ 259381
2019-12-18 00:00:00,QUARTA-FEIRA,R$ 20627,R$ 280495
2019-12-19 00:00:00,QUINTA-FEIRA,R$ 15130,R$ 290417
2019-12-20 00:00:00,SEXTA-FEIRA,R$ 32137,R$ 325708
2019-12-21 00:00:00,SÁBADO,R$ 3479,R$ 315333
2019-12-22 00:00:00,DOMINGO,,R$ 301000
2019-12-23 00:00:00,SEGUNDA-FEIRA,R$ 21680,R$ 317134
2019-12-24 00:00:00,TERÇA-FEIRA,R$ 5329,R$ 310803
2019-12-25 00:00:00,QUARTA-FEIRA,,R$ 298371
2019-12-26 00:00:00,QUINTA-FEIRA,R$ 6118,R$ 294189
2019-12-27 00:00:00,SEXTA-FEIRA,R$ 23614,R$ 310405
2019-12-28 00:00:00,SÁBADO,,R$ 299319
2019-12-29 00:00:00,DOMINGO,,R$ 288998
2019-12-30 00:00:00,SEGUNDA-FEIRA,R$ 17644,R$ 297597
2019-12-31 00:00:00,TERÇA-FEIRA,R$ 790,R$ 288787
2020-01-02 00:00:00,QUINTA-FEIRA,R$ 6112,R$ 94736
2020-01-03 00:00:00,SEXTA-FEIRA,R$ 8860,R$ 154711
2020-01-04 00:00:00,SÁBADO,R$ 680,R$ 121303
2020-01-05 00:00:00,DOMINGO,,R$ 97042
2020-01-06 00:00:00,SEGUNDA-FEIRA,R$ 450,R$ 83194
2020-01-07 00:00:00,TERÇA-FEIRA,R$ 4751,R$ 92349
2020-01-08 00:00:00,QUARTA-FEIRA,R$ 12408,R$ 128887
2020-01-09 00:00:00,QUINTA-FEIRA,R$ 15871,R$ 169232
2020-01-10 00:00:00,SEXTA-FEIRA,R$ 9015,R$ 180255
2020-01-11 00:00:00,SÁBADO,R$ 338,R$ 164819
2020-01-12 00:00:00,DOMINGO,,R$ 151084
2020-01-13 00:00:00,SEGUNDA-FEIRA,R$ 6886,R$ 155883
2020-01-14 00:00:00,TERÇA-FEIRA,R$ 6338,R$ 158781
2020-01-15 00:00:00,QUARTA-FEIRA,R$ 5269,R$ 159085
2020-01-16 00:00:00,QUINTA-FEIRA,R$ 6103,R$ 160967
2020-01-17 00:00:00,SEXTA-FEIRA,R$ 14437,R$ 177824
2020-01-18 00:00:00,SÁBADO,R$ 1112,R$ 169859
2020-01-19 00:00:00,DOMINGO,,R$ 160919
2020-01-20 00:00:00,SEGUNDA-FEIRA,R$ 539,R$ 153709
2020-01-21 00:00:00,TERÇA-FEIRA,R$ 6516,R$ 156007
2020-01-22 00:00:00,QUARTA-FEIRA,R$ 7462,R$ 159431
2020-01-23 00:00:00,QUINTA-FEIRA,R$ 2959,R$ 156487
2020-01-24 00:00:00,SEXTA-FEIRA,R$ 14254,R$ 168378
2020-01-25 00:00:00,SÁBADO,R$ 282,R$ 161993
